Subgroup,N,TP,TN,FP,FN,FPR,FNR,Error_Rate
Overall,2102,1162,315,425,200,0.574,0.147,0.297
Age <= 28,1209,658,179,255,117,0.588,0.151,0.308
Age > 28,893,504,136,170,83,0.556,0.141,0.283
Edu <= 2,1204,686,158,254,106,0.617,0.134,0.299
Edu > 2,898,476,157,171,94,0.521,0.165,0.295
SES Low,1093,573,184,221,115,0.546,0.167,0.307
SES High,1009,589,131,204,85,0.609,0.126,0.286
Trimester 2,227,140,25,50,12,0.667,0.079,0.273
Trimester 3,1875,1022,290,375,188,0.564,0.155,0.3
Near threshold (0.35-0.65),1470,715,228,340,187,0.599,0.207,0.359
Far from threshold,632,447,87,85,13,0.494,0.028,0.155
